Activity Period,Operating Airline,Operating Airline IATA Code,Origin Airport,Destination Airport,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
2006-01-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,7175
2006-02-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,6503
2006-03-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,9119
2006-05-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,12825
2006-06-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,12310
2006-07-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11960
2006-08-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11816
2006-09-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11291
2006-10-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11023
2006-12-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,7256
2007-01-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,6473
2007-02-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,6199
2007-03-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,7846
2007-04-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11051
2007-05-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,12555
2007-06-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,12261
2007-08-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,12710
2007-09-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11761
2007-10-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,11300
2007-11-01,Air France,AF,SFO,CDG,Air France,AF,International,Europe,Enplaned,Other,International,A,7203
